Ticker,Metric,App Value,Reference Value,Source,Formula,Period,Difference,Status
INFY.NS,Intraday Session VWAP,"₹1,175.82","₹1,175.82",5m Intraday Feed (yfinance),Sum(P_typical * Vol) / Sum(Vol),2026-08-07,0.0000,OK
INFY.NS,Promoter Holding %,N/A,N/A,Official Shareholding Pattern Filing,Promoter & Promoter Group Shares / Total Shares,2026-06-30,N/A,N/A
INFY.NS,FII Holding %,N/A,N/A,Official Shareholding Pattern Filing,Foreign Institutional Shares / Total Shares,2026-06-30,N/A,N/A
INFY.NS,DII Holding %,N/A,N/A,Official Shareholding Pattern Filing,Domestic Institutional Shares / Total Shares,2026-06-30,N/A,N/A
INFY.NS,P/E Ratio,15.83,15.27,Price + Official TTM EPS,Current Price / TTM EPS,TTM,0.5593,OK
INFY.NS,PEG Ratio,105.89,105.89,P/E + YoY Growth,P/E / EPS Growth %,TTM,0.0000,OK
INFY.NS,EV / EBITDA,10.87,10.87,EV + TTM EBIT,(Market Cap + Debt - Cash) / TTM EBITDA,TTM,0.0000,OK
INFY.NS,Sector Median P/E,19.39,19.39,Sector Peer Engine,Median P/E of Sector Constituents,2026-06-30,0.0000,OK
INFY.NS,Sector Breadth (> 200 EMA),75.00%,75.00%,Sector Peer Engine,% of Sector Stocks > 200 EMA,Live,0.0000,OK
HDFCBANK.NS,Quarterly Revenue,"90,575.00 Cr","90,575.00 Cr",NSE XBRL / Official Filings,Directly Reported Filing Line Item,2026-06-30,0.0000,OK
HDFCBANK.NS,Quarterly PAT,"20,383.00 Cr","20,383.00 Cr",NSE XBRL / Official Filings,Directly Reported Filing Line Item,2026-06-30,0.0000,OK
HDFCBANK.NS,Quarterly EPS,12.50,12.50,NSE XBRL / Official Filings,Directly Reported Quarterly EPS,2026-06-30,0.0000,OK
HDFCBANK.NS,TTM Revenue,"351,818.00 Cr","351,818.00 Cr",Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly Revenues,TTM,0.0000,OK
HDFCBANK.NS,TTM PAT,"82,512.00 Cr","82,512.00 Cr",Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly PATs,TTM,0.0000,OK
HDFCBANK.NS,TTM EPS,51.35,51.35,Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly EPS,TTM,0.0000,OK
HDFCBANK.NS,Intraday Session VWAP,₹732.29,₹732.29,5m Intraday Feed (yfinance),Sum(P_typical * Vol) / Sum(Vol),2026-08-07,0.0000,OK
HDFCBANK.NS,Promoter Holding %,N/A,N/A,Official Shareholding Pattern Filing,Promoter & Promoter Group Shares / Total Shares,2026-06-30,N/A,N/A
HDFCBANK.NS,FII Holding %,N/A,N/A,Official Shareholding Pattern Filing,Foreign Institutional Shares / Total Shares,2026-06-30,N/A,N/A
HDFCBANK.NS,DII Holding %,N/A,N/A,Official Shareholding Pattern Filing,Domestic Institutional Shares / Total Shares,2026-06-30,N/A,N/A
HDFCBANK.NS,P/E Ratio,14.24,15.97,Price + Official TTM EPS,Current Price / TTM EPS,TTM,1.7390,MISMATCH
HDFCBANK.NS,PEG Ratio,79.42,79.42,P/E + YoY Growth,P/E / EPS Growth %,TTM,0.0000,OK
HDFCBANK.NS,EV / EBITDA,N/A,N/A,EV + TTM EBIT,(Market Cap + Debt - Cash) / TTM EBITDA,TTM,N/A,N/A
HDFCBANK.NS,Sector Median P/E,68939841.74,68939841.74,Sector Peer Engine,Median P/E of Sector Constituents,2026-06-30,0.0000,OK
HDFCBANK.NS,Sector Breadth (> 200 EMA),75.00%,75.00%,Sector Peer Engine,% of Sector Stocks > 200 EMA,Live,0.0000,OK
SBIN.NS,Quarterly Revenue,"136,240.00 Cr","136,240.00 Cr",NSE XBRL / Official Filings,Directly Reported Filing Line Item,2026-06-30,0.0000,OK
SBIN.NS,Quarterly PAT,"25,121.00 Cr","25,121.00 Cr",NSE XBRL / Official Filings,Directly Reported Filing Line Item,2026-06-30,0.0000,OK
SBIN.NS,Quarterly EPS,26.12,26.12,NSE XBRL / Official Filings,Directly Reported Quarterly EPS,2026-06-30,0.0000,OK
SBIN.NS,TTM Revenue,"525,746.00 Cr","525,746.00 Cr",Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly Revenues,TTM,0.0000,OK
SBIN.NS,TTM PAT,"89,666.00 Cr","89,666.00 Cr",Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly PATs,TTM,0.0000,OK
SBIN.NS,TTM EPS,93.39,93.39,Official Filings (4-Qtr Sum),Sum of 4 Distinct Quarterly EPS,TTM,0.0000,OK
SBIN.NS,Intraday Session VWAP,"₹1,103.76","₹1,103.76",5m Intraday Feed (yfinance),Sum(P_typical * Vol) / Sum(Vol),2026-08-07,0.0000,OK
SBIN.NS,Promoter Holding %,N/A,N/A,Official Shareholding Pattern Filing,Promoter & Promoter Group Shares / Total Shares,2026-06-30,N/A,N/A
SBIN.NS,FII Holding %,N/A,N/A,Official Shareholding Pattern Filing,Foreign Institutional Shares / Total Shares,2026-06-30,N/A,N/A
SBIN.NS,DII Holding %,N/A,N/A,Official Shareholding Pattern Filing,Domestic Institutional Shares / Total Shares,2026-06-30,N/A,N/A
SBIN.NS,P/E Ratio,11.75,12.03,Price + Official TTM EPS,Current Price / TTM EPS,TTM,0.2848,OK
SBIN.NS,PEG Ratio,118.28,118.28,P/E + YoY Growth,P/E / EPS Growth %,TTM,0.0000,OK
SBIN.NS,EV / EBITDA,N/A,N/A,EV + TTM EBIT,(Market Cap + Debt - Cash) / TTM EBITDA,TTM,N/A,N/A
SBIN.NS,Sector Median P/E,68939841.74,68939841.74,Sector Peer Engine,Median P/E of Sector Constituents,2026-06-30,0.0000,OK
SBIN.NS,Sector Breadth (> 200 EMA),75.00%,75.00%,Sector Peer Engine,% of Sector Stocks > 200 EMA,Live,0.0000,OK
